Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2653.5,15.90000001,3158676224,0.587204576
tensorflow_js_wasm,10%,1641.7,33,3158682112,0.587204814
rust_wasm_cpu,10%,85.09999999,0.100000009,4207718343,0.450109223
tensorflow_js_webgpu,10%,2055.4,40.09999999,3175388672,0.587204456
python_gpu,10%,5788.410425,1094.448805,3158676992,0.587204456
tensorflow_js_cpu,50%,12813.5,78,3463432704,0.588198602
tensorflow_js_wasm,50%,9751.4,802.7,3463326208,0.588146448
rust_wasm_cpu,50%,362.9,0.5,4766455636,0.433269486
tensorflow_js_webgpu,50%,6954.8,202.8,3480211456,0.592119932
python_gpu,50%,14608.39462,4353.083134,3463432448,0.588198662
tensorflow_js_cpu,100%,27512.6,171.7,3613063936,0.572677612
tensorflow_js_wasm,100%,26612.3,2747.5,3612185600,0.572817445
rust_wasm_cpu,100%,776.1,1.099999994,4887961152,0.421893666
tensorflow_js_webgpu,100%,13367.2,801.7,3612904192,0.572673738
python_gpu,100%,23889.76669,7890.973806,3612838656,0.572704196
