Platform,Dataset Size,Training Time,Inference Time,MSE,R2
tensorflow_js_cpu,10%,2.61120000000298,0.019599999994039535,3158676736,0.5872044563293457
tensorflow_js_wasm,10%,1.6348999999985099,0.0485,3158670080,0.5872063636779785
rust_wasm_cpu,10%,0.07410000000149011,0.00010000000149011611,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2.2825,0.2078999999985099,3158485504,0.5911423563957214
python_gpu,10%,6.787556886672974,0.96148681640625,3158695424.0,0.5872020721435547
tensorflow_js_cpu,50%,12.00289999999851,0.07329999999701976,3463454208,0.5881960391998291
tensorflow_js_wasm,50%,9.10330000000447,0.9731999999955296,3463382784,0.5881397724151611
rust_wasm_cpu,50%,0.36689999999850986,0.0003999999985098839,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6.2285,0.3652999999970198,3463354880,0.588200032711029
python_gpu,50%,13.689578771591187,4.2124199867248535,3463433472.0,0.5881985425949097
tensorflow_js_cpu,100%,28.01910000000149,0.15920000000298024,3612846336,0.5727033615112305
tensorflow_js_wasm,100%,26.7,4.1043000000044705,3612336640,0.5727996230125427
rust_wasm_cpu,100%,0.748,0.0008999999985098839,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,11.66379999999702,0.6252000000029803,3612950272,0.5727142691612244
python_gpu,100%,22.03800082206726,8.625378370285034,3612848640.0,0.5727030038833618
