Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,17.9816,0.0004,0.8790000081062317,0.41977185010910034
tensorflow_js_wasm,10%,6.9769,0.0005,0.8790000081062317,0.42891713976860046
rust_wasm_cpu,10%,21.9362,2.2508,0.5088160848860988,11.65533336396765
tensorflow_js_webgpu,10%,6.9312,0.001,0.8660000562667847,0.4373561441898346
python_gpu,10%,7.1146,0.2431,0.8799999952316284,0.42896223068237305
tensorflow_js_cpu,50%,176.5952,0.0007,0.9125999808311462,0.2949981987476349
tensorflow_js_wasm,50%,35.9079,0.0005,0.9179999828338623,0.28306928277015686
rust_wasm_cpu,50%,22.7681,2.2038,0.7735502304412124,5.747817802709593
tensorflow_js_webgpu,50%,25.761,0.0002,0.9164000153541565,0.27685102820396423
python_gpu,50%,24.2668,0.2731,0.9160000085830688,0.27955445647239685
tensorflow_js_cpu,100%,198.6267,0.0005,0.9541000127792358,0.15737269818782806
tensorflow_js_wasm,100%,64.7273,0.0002,0.9501000046730042,0.16599434614181519
rust_wasm_cpu,100%,21.2525,2.2268,0.8420612130045166,4.002336586185081
tensorflow_js_webgpu,100%,44.9653,0.3696,0.9529000520706177,0.16050325334072113
python_gpu,100%,53.3298,0.2661,0.9538000226020813,0.15404720604419708
